treatment,test_mode,cohort_config,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_10__CS_10,SEL_COHORT_LEX,cn10:cs10,compare-string-lengths,1,24,100,10
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_1__CS_100,SEL_COHORT_LEX,cn1:cs100,compare-string-lengths,1,83,100,10
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_20__CS_5,SEL_COHORT_LEX,cn20:cs5,compare-string-lengths,1,6,100,14
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_2__CS_50,SEL_COHORT_LEX,cn2:cs50,compare-string-lengths,1,78,100,10
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_4__CS_25,SEL_COHORT_LEX,cn4:cs25,compare-string-lengths,1,60,100,10
PROBLEM_compare-string-lengths__SEL_REDUCED_TRAINING__CN_10__CS_10,SEL_REDUCED_TRAINING,cn10:cs10,compare-string-lengths,1,6,100,10
PROBLEM_compare-string-lengths__SEL_REDUCED_TRAINING__CN_1__CS_100,SEL_REDUCED_TRAINING,cn1:cs100,compare-string-lengths,1,83,100,10
PROBLEM_compare-string-lengths__SEL_REDUCED_TRAINING__CN_20__CS_5,SEL_REDUCED_TRAINING,cn20:cs5,compare-string-lengths,1,0,100,NONE
PROBLEM_compare-string-lengths__SEL_REDUCED_TRAINING__CN_2__CS_50,SEL_REDUCED_TRAINING,cn2:cs50,compare-string-lengths,1,60,100,10
PROBLEM_compare-string-lengths__SEL_REDUCED_TRAINING__CN_4__CS_25,SEL_REDUCED_TRAINING,cn4:cs25,compare-string-lengths,1,19,100,10
PROBLEM_compare-string-lengths__SEL_SAMPLED_TRAINING__CN_10__CS_10,SEL_SAMPLED_TRAINING,cn10:cs10,compare-string-lengths,1,4,100,10
PROBLEM_compare-string-lengths__SEL_SAMPLED_TRAINING__CN_1__CS_100,SEL_SAMPLED_TRAINING,cn1:cs100,compare-string-lengths,1,87,100,10
PROBLEM_compare-string-lengths__SEL_SAMPLED_TRAINING__CN_20__CS_5,SEL_SAMPLED_TRAINING,cn20:cs5,compare-string-lengths,1,0,100,NONE
PROBLEM_compare-string-lengths__SEL_SAMPLED_TRAINING__CN_2__CS_50,SEL_SAMPLED_TRAINING,cn2:cs50,compare-string-lengths,1,72,100,10
PROBLEM_compare-string-lengths__SEL_SAMPLED_TRAINING__CN_4__CS_25,SEL_SAMPLED_TRAINING,cn4:cs25,compare-string-lengths,1,56,100,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_10__CS_10,SEL_COHORT_LEX,cn10:cs10,for-loop-index,1,32,100,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_1__CS_100,SEL_COHORT_LEX,cn1:cs100,for-loop-index,1,50,100,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_20__CS_5,SEL_COHORT_LEX,cn20:cs5,for-loop-index,1,20,100,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_2__CS_50,SEL_COHORT_LEX,cn2:cs50,for-loop-index,1,44,100,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_4__CS_25,SEL_COHORT_LEX,cn4:cs25,for-loop-index,1,41,100,10
PROBLEM_for-loop-index__SEL_REDUCED_TRAINING__CN_10__CS_10,SEL_REDUCED_TRAINING,cn10:cs10,for-loop-index,1,22,100,11
PROBLEM_for-loop-index__SEL_REDUCED_TRAINING__CN_1__CS_100,SEL_REDUCED_TRAINING,cn1:cs100,for-loop-index,1,46,100,10
PROBLEM_for-loop-index__SEL_REDUCED_TRAINING__CN_20__CS_5,SEL_REDUCED_TRAINING,cn20:cs5,for-loop-index,1,16,100,10
PROBLEM_for-loop-index__SEL_REDUCED_TRAINING__CN_2__CS_50,SEL_REDUCED_TRAINING,cn2:cs50,for-loop-index,1,32,100,10
PROBLEM_for-loop-index__SEL_REDUCED_TRAINING__CN_4__CS_25,SEL_REDUCED_TRAINING,cn4:cs25,for-loop-index,1,33,100,10
