treatment,test_mode,cohort_config,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,compare-string-lengths,1,1,50,11
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,compare-string-lengths,1,5,50,10
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,compare-string-lengths,1,5,50,18
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,compare-string-lengths,1,2,50,10
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,compare-string-lengths,1,1,50,15
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,compare-string-lengths,1,5,50,12
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,compare-string-lengths,1,5,50,10
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,compare-string-lengths,1,5,50,12
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,compare-string-lengths,1,4,50,15
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,compare-string-lengths,1,1,50,12
PROBLEM_compare-string-lengths__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,compare-string-lengths,1,5,50,12
PROBLEM_median__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,median,1,1,50,30
PROBLEM_median__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,median,1,3,50,26
PROBLEM_median__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,median,1,2,50,18
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,median,1,3,50,11
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,median,1,7,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,median,1,1,50,28
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,median,1,2,50,33
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,median,1,1,50,12
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,median,1,1,50,41
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,median,1,1,50,24
PROBLEM_median__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,median,1,1,50,59
PROBLEM_median__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,median,1,2,50,43
PROBLEM_median__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,median,1,0,50,NONE
PROBLEM_median__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,median,1,4,50,10
PROBLEM_median__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,median,1,0,50,NONE
PROBLEM_median__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,median,1,3,50,24
PROBLEM_median__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,median,1,2,50,24
PROBLEM_median__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,median,1,1,50,47
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,small-or-large,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,smallest,1,1,50,11
PROBLEM_smallest__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,smallest,1,4,50,13
PROBLEM_smallest__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,smallest,1,1,50,8
PROBLEM_smallest__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,smallest,1,4,50,23
PROBLEM_smallest__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,smallest,1,2,50,18
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,smallest,1,2,50,11
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,smallest,1,4,50,12
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,smallest,1,3,50,11
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,smallest,1,5,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,smallest,1,1,50,18
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,smallest,1,1,50,59
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,smallest,1,2,50,25
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,smallest,1,1,50,8
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,smallest,1,3,50,20
PROBLEM_smallest__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,smallest,1,6,50,14
