train_input_1,train_output_1
,Check sum is  
A,Check sum is !
	,Check sum is )
"
",Check sum is *
"B
","Check sum is ,"
"

",Check sum is 4
"

















































",Check sum is T
                                                  ,Check sum is  
ssssssssssssssssssssssssssssssssssssssssssssssssss,Check sum is V
"CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD
CD",Check sum is 7
"x
y x
y x
y x
y x
y x
y x
y x
y x
y x
y x
y x
y x
",Check sum is &
" 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",Check sum is :
Z$8ie/P^&j~-ek5M>7d'4M_*|Z]IPtf6Nn3q,Check sum is T
2>9P5SX=&	MrE)-ej!h69kg|6f;%Fp~i|v}1W'fTd/[ D9eEV,Check sum is P
r,Check sum is R
j~s~M|(,Check sum is *
"JX
^)?$Z\f.dYMm@<25FC/4G$",Check sum is 1
" 2y1=XfU
t#Kbo!9u:\/el.p1%]zz9Dm^;pK""TUL@;6lU0""r",Check sum is ^
E4w`)\m\bQ9%=u7m'4qgtda,Check sum is Q
"B	xYd-!]),,1b=I>rqoi>f4,L/)hrdFFUojG^koN{\|w?l",Check sum is @
"=??Q{x**eDE3%5|AOSqM^IdA
`C{0r*HSZwqbs+",Check sum is (
/_Y{~In&DYz'tM?YG=8(GB[d974-)Ng7T]^^*|?6o!1%F0yR;,Check sum is 0
"_;MXaQ&3@<eq \!}%rnvS\d
}o#'0e",Check sum is 9
]e1omd	#%FJc36;-@rD*A9QQ-1[lwz+Jg1,Check sum is G
:PoUw,Check sum is %
v_h69t7G_K/Vk9S,Check sum is $
"=L`26:=`j_n}|W#(`+
!#O",Check sum is B
)CMKB'gmqC&b*[U6Hd%NT$i ^ \p=zRSyRuPz|	n2#WQldg,Check sum is $
":'8U;mh=KX	k23K't&H$;_z1EzrI$!c8H/?Eo	[/,\j6EVEP+",Check sum is .
} [ccRT)}%#(}ti'\,Check sum is 7
Dk27jS,Check sum is 5
"vN,hf//vx*((O=|V,do",Check sum is A
p_Ls;ZQE[PD|;67u!<>@5%f;I;u'tbIA,Check sum is 7
1t0/5Uf>b}n=o75N4:Za1%oF(TVFMG`ZGjwXuh_Z~_,Check sum is R
IlFC6,Check sum is T
(6unF3>,Check sum is X
D2dw[3bs~JhN=ZoElbw>d&?QTeX6('W+j8df&uzR,Check sum is %
j,Check sum is J
~p3:/.Oo->d]T!C]#Eo,Check sum is .
=R%*F=QjM~%P!m;{[u,Check sum is P
?(kJddc'H^t,Check sum is (
SL\=lSd(Z)<VjihXt2x^ZdC2,Check sum is :
r%>nX%x|z8':2;`mtX<Bu4,Check sum is T
R.Qe$r7M1g,Check sum is H
"y>{C(d\l^B3^{(_y$c>UYCFumv-W6q<Ql1
fNc""8I7l
xHFp",Check sum is %
