train_input_1,train_output_1
1,1
2,2
3,8
4,3
5,6
6,9
7,17
8,4
9,20
10,7
9999,92
10000,30
6171,262
6943,257
7963,252
9257,260
7173,120
1742,180
6482,169
2033,113
8173,159
2764,129
9510,53
8299,159
3752,26
897,68
4482,47
9254,110
7919,76
7457,71
8757,35
1787,48
191,45
9830,136
7519,89
4049,65
5246,104
5516,130
7494,89
4436,21
6352,32
5828,37
7280,45
9132,61
2356,121
7912,53
3062,62
6788,37
5110,60
8327,66
3999,189
3311,168
2993,49
4444,34
8348,115
2155,170
9825,48
5208,104
4936,135
8097,66
3907,39
8202,40
967,143
5648,130
7226,120
8463,40
2949,142
4445,34
9707,167
3060,49
9496,79
1273,32
9681,61
8976,48
2895,54
1755,43
9194,48
434,28
3529,57
9245,154
6446,24
4191,109
9534,105
7222,71
164,112
8740,110
8647,53
7761,146
3640,44
7309,133
6841,58
7977,53
8605,110
2054,38
6276,37
490,23
9172,110
7647,177
4393,140
516,124
6666,32
1488,22
7029,58
2034,157
2114,82
9214,154
7907,53
2901,23
7859,102
1062,125
8177,53
7284,45
5937,143
7239,45
1678,87
8161,177
664,114
9106,154
3659,132
1694,35
4799,166
6274,37
1740,30
122,21
4911,122
6690,138
8360,35
5459,161
6231,63
4029,96
441,28
9041,185
7940,53
7045,107
1094,32
9892,123
277,17
5104,60
1630,136
6455,107
1960,25
2787,36
1209,58
628,39
1681,43
2680,72
9039,92
9021,141
6677,138
8931,48
1089,45
3206,62
3079,155
1481,35
2837,36
2333,33
8651,53
4402,140
9266,110
884,117
480,23
9330,136
4420,96
6684,45
8008,146
2862,28
6826,19
391,121
8371,40
237,35
5881,50
1512,110
3124,124
9238,154
6402,169
2367,90
560,18
9497,53
4325,140
2489,41
9305,92
7322,133
4897,166
3501,31
9232,35
8213,40
9032,40
6253,156
4684,60
4601,60
2287,121
8028,45
6110,94
6696,45
3502,31
5882,50
2882,142
3941,26
2190,77
5387,148
