train_input_1,train_input_2,train_input_3,train_output_1
-20,0,3,"-20,-17,-14,-11,-8,-5,-2"
-4,4,1,"-4,-3,-2,-1,0,1,2,3"
-28,4,3,"-28,-25,-22,-19,-16,-13,-10,-7,-4,-1,2"
-5,17,3,"-5,-2,1,4,7,10,13,16"
-2,7,3,"-2,1,4"
-34,46,7,"-34,-27,-20,-13,-6,1,8,15,22,29,36,43"
-18,18,2,"-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16"
-39,80,9,"-39,-30,-21,-12,-3,6,15,24,33,42,51,60,69,78"
-8,74,8,"-8,0,8,16,24,32,40,48,56,64,72"
-12,2,4,"-12,-8,-4,0"
-421,-407,8,"-421,-413"
413,475,10,"413,423,433,443,453,463,473"
-25,2,10,"-25,-15,-5"
-466,-439,3,"-466,-463,-460,-457,-454,-451,-448,-445,-442"
149,166,2,"149,151,153,155,157,159,161,163,165"
-48,-44,9,-48
240,354,9,"240,249,258,267,276,285,294,303,312,321,330,339,348"
446,495,3,"446,449,452,455,458,461,464,467,470,473,476,479,482,485,488,491,494"
136,312,10,"136,146,156,166,176,186,196,206,216,226,236,246,256,266,276,286,296,306"
149,197,6,"149,155,161,167,173,179,185,191"
392,451,6,"392,398,404,410,416,422,428,434,440,446"
-99,-7,7,"-99,-92,-85,-78,-71,-64,-57,-50,-43,-36,-29,-22,-15,-8"
-446,-402,3,"-446,-443,-440,-437,-434,-431,-428,-425,-422,-419,-416,-413,-410,-407,-404"
318,327,1,"318,319,320,321,322,323,324,325,326"
-173,-129,3,"-173,-170,-167,-164,-161,-158,-155,-152,-149,-146,-143,-140,-137,-134,-131"
-27,20,9,"-27,-18,-9,0,9,18"
180,266,5,"180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265"
496,506,1,"496,497,498,499,500,501,502,503,504,505"
0,15,5,"0,5,10"
-391,-359,5,"-391,-386,-381,-376,-371,-366,-361"
290,342,6,"290,296,302,308,314,320,326,332,338"
-497,-362,9,"-497,-488,-479,-470,-461,-452,-443,-434,-425,-416,-407,-398,-389,-380,-371"
15,35,7,"15,22,29"
-261,-201,3,"-261,-258,-255,-252,-249,-246,-243,-240,-237,-234,-231,-228,-225,-222,-219,-216,-213,-210,-207,-204"
91,175,6,"91,97,103,109,115,121,127,133,139,145,151,157,163,169"
293,350,4,"293,297,301,305,309,313,317,321,325,329,333,337,341,345,349"
116,228,7,"116,123,130,137,144,151,158,165,172,179,186,193,200,207,214,221"
-154,-146,4,"-154,-150"
-496,-425,8,"-496,-488,-480,-472,-464,-456,-448,-440,-432"
334,505,10,"334,344,354,364,374,384,394,404,414,424,434,444,454,464,474,484,494,504"
155,157,1,"155,156"
150,172,3,"150,153,156,159,162,165,168,171"
-15,110,7,"-15,-8,-1,6,13,20,27,34,41,48,55,62,69,76,83,90,97,104"
-221,-198,2,"-221,-219,-217,-215,-213,-211,-209,-207,-205,-203,-201,-199"
140,157,1,"140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156"
305,434,10,"305,315,325,335,345,355,365,375,385,395,405,415,425"
322,334,9,"322,331"
-38,2,8,"-38,-30,-22,-14,-6"
182,184,8,182
385,424,2,"385,387,389,391,393,395,397,399,401,403,405,407,409,411,413,415,417,419,421,423"
-276,-225,7,"-276,-269,-262,-255,-248,-241,-234,-227"
14,25,4,"14,18,22"
-55,40,5,"-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35"
408,472,5,"408,413,418,423,428,433,438,443,448,453,458,463,468"
-448,-430,2,"-448,-446,-444,-442,-440,-438,-436,-434,-432"
-55,-11,3,"-55,-52,-49,-46,-43,-40,-37,-34,-31,-28,-25,-22,-19,-16,-13"
483,484,3,483
-488,-479,2,"-488,-486,-484,-482,-480"
446,462,2,"446,448,450,452,454,456,458,460"
-70,60,8,"-70,-62,-54,-46,-38,-30,-22,-14,-6,2,10,18,26,34,42,50,58"
-35,8,5,"-35,-30,-25,-20,-15,-10,-5,0,5"
-195,-175,1,"-195,-194,-193,-192,-191,-190,-189,-188,-187,-186,-185,-184,-183,-182,-181,-180,-179,-178,-177,-176"
403,483,6,"403,409,415,421,427,433,439,445,451,457,463,469,475,481"
165,184,4,"165,169,173,177,181"
-481,-464,1,"-481,-480,-479,-478,-477,-476,-475,-474,-473,-472,-471,-470,-469,-468,-467,-466,-465"
160,167,1,"160,161,162,163,164,165,166"
-168,1,10,"-168,-158,-148,-138,-128,-118,-108,-98,-88,-78,-68,-58,-48,-38,-28,-18,-8"
-394,-304,8,"-394,-386,-378,-370,-362,-354,-346,-338,-330,-322,-314,-306"
334,483,9,"334,343,352,361,370,379,388,397,406,415,424,433,442,451,460,469,478"
-374,-295,7,"-374,-367,-360,-353,-346,-339,-332,-325,-318,-311,-304,-297"
231,256,2,"231,233,235,237,239,241,243,245,247,249,251,253,255"
257,261,2,"257,259"
-81,-5,4,"-81,-77,-73,-69,-65,-61,-57,-53,-49,-45,-41,-37,-33,-29,-25,-21,-17,-13,-9"
-237,-51,10,"-237,-227,-217,-207,-197,-187,-177,-167,-157,-147,-137,-127,-117,-107,-97,-87,-77,-67,-57"
353,370,6,"353,359,365"
185,219,2,"185,187,189,191,193,195,197,199,201,203,205,207,209,211,213,215,217"
283,356,7,"283,290,297,304,311,318,325,332,339,346,353"
-283,-242,3,"-283,-280,-277,-274,-271,-268,-265,-262,-259,-256,-253,-250,-247,-244"
-78,-6,6,"-78,-72,-66,-60,-54,-48,-42,-36,-30,-24,-18,-12"
-405,-364,5,"-405,-400,-395,-390,-385,-380,-375,-370,-365"
-237,-223,1,"-237,-236,-235,-234,-233,-232,-231,-230,-229,-228,-227,-226,-225,-224"
345,358,1,"345,346,347,348,349,350,351,352,353,354,355,356,357"
-115,-113,2,-115
199,315,6,"199,205,211,217,223,229,235,241,247,253,259,265,271,277,283,289,295,301,307,313"
174,218,5,"174,179,184,189,194,199,204,209,214"
-387,-293,6,"-387,-381,-375,-369,-363,-357,-351,-345,-339,-333,-327,-321,-315,-309,-303,-297"
-100,-96,2,"-100,-98"
-142,-140,9,-142
-274,-239,7,"-274,-267,-260,-253,-246"
-57,-11,4,"-57,-53,-49,-45,-41,-37,-33,-29,-25,-21,-17,-13"
-369,-348,10,"-369,-359,-349"
219,238,2,"219,221,223,225,227,229,231,233,235,237"
273,291,9,"273,282"
-183,-79,7,"-183,-176,-169,-162,-155,-148,-141,-134,-127,-120,-113,-106,-99,-92,-85"
-18,41,8,"-18,-10,-2,6,14,22,30,38"
-217,-151,7,"-217,-210,-203,-196,-189,-182,-175,-168,-161,-154"
180,209,2,"180,182,184,186,188,190,192,194,196,198,200,202,204,206,208"
90,158,10,"90,100,110,120,130,140,150"
-23,30,3,"-23,-20,-17,-14,-11,-8,-5,-2,1,4,7,10,13,16,19,22,25,28"
356,482,9,"356,365,374,383,392,401,410,419,428,437,446,455,464,473"
