train_input_1,train_input_2,train_input_3,train_output_1
-8,84,7,7
14,88,-78,14
78,-23,51,51
-10,-3,-94,-10
-93,24,-10,-10
47,-64,-86,-64
-51,35,7,7
0,-6,30,0
13,81,73,73
-64,4,31,4
12,61,-60,12
69,35,23,35
53,83,-14,53
52,75,1,52
-58,-4,-61,-58
-24,-9,30,-9
85,-9,18,18
-53,52,21,21
-85,-93,-98,-93
-44,93,14,14
-79,73,29,29
0,-88,-54,-54
85,4,-99,4
-78,-1,35,-1
74,55,-95,55
-32,-82,5,-32
0,15,-64,0
22,65,-24,22
64,-15,-80,-15
-22,-65,87,-22
-32,-100,-19,-32
-67,-63,87,-63
-81,-13,-4,-13
51,-88,52,51
64,92,-72,64
-18,-6,-84,-18
-71,-97,-72,-72
-44,-86,-80,-80
-63,-94,-71,-71
17,-81,83,17
-99,-22,12,-22
-33,-54,31,-33
36,-51,37,36
-55,-18,-29,-29
-92,34,100,34
80,-49,67,67
-30,-43,-46,-43
-32,-59,15,-32
98,-7,-7,-7
59,-17,-75,-17
-41,-31,90,-31
-22,-24,-12,-22
-50,-43,-55,-50
-44,40,22,22
68,-14,24,24
-89,-78,-96,-89
-51,59,-31,-31
-94,86,-92,-92
-94,-79,-93,-93
-23,-54,-86,-54
47,47,41,47
-24,67,-24,-24
-39,-39,-48,-39
94,53,94,94
-49,-30,-49,-49
13,56,13,13
-51,-36,-36,-36
92,54,92,92
88,88,-82,88
82,82,-56,82
-10,-73,-73,-73
68,-51,68,68
14,-74,-74,-74
7,39,7,7
17,100,17,17
26,-31,26,26
20,83,20,20
-59,-35,-35,-35
0,0,66,0
82,82,-12,82
-76,71,-76,-76
80,-24,80,80
15,47,47,47
-11,29,29,29
4,4,-99,4
-23,60,-23,-23
-37,77,77,77
-65,-65,96,-65
69,-71,-71,-71
-73,82,-73,-73
21,21,21,21
-97,-97,-97,-97
-35,-35,-35,-35
98,98,98,98
-44,-44,-44,-44
65,65,65,65
-51,-51,-51,-51
-11,-11,-11,-11
-64,-64,-64,-64
11,11,11,11
