train_input_1,train_output_1
a,1
b,3
c,3
d,2
e,1
f,4
g,2
h,4
i,1
j,8
k,5
l,1
m,3
n,1
o,1
p,3
q,10
r,1
s,1
t,1
u,1
v,4
w,4
x,8
y,4
z,10
,0
*,0
 ,0
Q ,10
zx,18
 Dw,6
ef,5
!!,0
 F@,4
ydp,9
4ps,4
abcdefghijklmnopqrst,56
ghijklmnopqrstuvwxyz,73
zxyzxyqQQZXYqqjjawp,140
"h w h j##r##r
+JJL",39
i !i !i !i !i,5
QQQQQQQQQQQQQQQQQQQQ,200
$$$$$$$$$$$$$$$$$$$$,0
wwwwwwwwwwwwwwwwwwww,80
1 1 1 1 1 1 1 1 1 1 ,0
 v v v v v v v v v v,40
Ha Ha Ha Ha Ha Ha Ha,35
x y!x y!x y!x y!x y!,60
G5G5G5G5G5G5G5G5G5G5,20
n>[-&`D0BS,7
s#!B<UPn~wNLub7#66,19
Hg.=,6
?B S%HftKx_ez?~,37
_g]iL,4
"YZ`MxoN~""Sh{'je/H/3",45
J9,8
tZ]J!~#f:|[',23
'c_	>1?%<QB]a,17
@),0
IoC)iJqy,28
$/,0
mxFv.;3,19
0 9	xGDaj}A)@,22
L&+xdS\ vie,18
@GL/D@)3,5
8 Dx?rhrYl7[4=,21
"|~Fx`""-FP=.",19
dL,3
|R?l:ReLqH*^Z*f,33
I%a&vj+mt9,18
\$(G[??$zj,20
rjvEq,24
"!n)f>~q,r6$fT",21
Kx3,13
wtx>$CCY2-@,23
#~BK|OxMcV/X\@k_,40
D5	3q2*r?E|,14
k y98[i>y(,14
"\l@gc84%:""(ekL",13
y>$ZxRbj\J(j1GWyC,63
a7|cl)Pt;>2_.iQT_L$,22
x*t\BB?J;Q/F,37
"]c><
nG",6
jd%.6-`	n7JRHeA25%oX,35
a3@pqfckf8_94@,30
9|	|WM',7
"<f{Pv]3aq6L""E*",24
e'6B[N@7PGc^\gx/,23
(3l/*M,4
bEkk0wq.`0Z.HCQ:,55
\MXTNI	Ct[Q,28
"*D|`F
%'
kqCC@F,",31
^b1+,3
V|7aTq!$U#3! ,17
"?S7F$
7r'",6
"#-H=X17VHi'\K4D,",28
Y}FiK,14
c5cOQ.1B\w?a*GLH?p;,35
"j?HA!m<<,mllRp:&",25
s0^Yl,6
I0Z[Ap2?;,15
UNztwYE]}m}<3\HyJ,41
"gJn=%\""CRF#eTmZ",34
"*Aks^`T""HRR[!Uy5'ZDY",35
iwpp,11
GM~y:,9
a>;fl?zzY!y,34
1K#HKo@ 2,15
"AW""",5
XKr,14
D2)0dxZq,32
@U?	6/Zln,13
!	SxgD5]U8=mB,20
"-,%EF5d[nc&Gx>L]?",22
zJZi|tP.b3yVTCZA,59
	h n$alu;K ,13
"h,K2",9
"Fq~}GS<L2t\C
9",22
"ND^/2""a{a",5
":W{g&pl`s0Et&,,",13
"+c8e""2;[uX,Jq/{vW",39
&@s3<qO`@4T^Ns[,15
$ko kG&=lk|nE:,21
1z/z>F9d[2,26
"Gl""/,\.4(Wg\*$",9
";=|U""g#qI%CpJ=s",29
"K
fN,",10
"^=x*ZDe,$D#Cf)8[zn&",41
"Z(""*",10
=QwknCDA,26
d%pJRplr2yhh5vo=,36
)<yWYBs*@ DZC[,31
r!aBM2,8
LSp%\Ds%t>,9
5/[,0
Afqa*,16
C]cQ	\,16
=eM&nU_k+	Y9Jm,26
"L$,MO,-SS1)X4C^%7",18
jB2d 	LU?<63o|%,16
Rt%?eE-B,7
	TLfN.t2b,11
Mz!_6gv[,19
"r_l#g,c",7
*Q2l&,11
g^AM]s@UwY+,16
P	\yj2^;3ik2NDp} ,27
c`p.=8_mD3\Mm$j,25
Y}mX*b	1_M_dmUA|;),28
NM/AhTfd%a&@,17
=;qv~[^%,14
xDL/)}vi!h$7,20
@C?%S([ -,4
{N&^<u3	md.h\'z,21
9w[^rV,9
gK-9LyGEGXWgT;|p-,35
"sA""Tu8N7]v",9
)D~ s,3
h+^j6,12
"p0,=Wp0W]`[09Fs6",19
@]u@v!,5
"kKkw,]bLQjgSWTD|&N",52
"^(""A4!,H2j31",13
6Ew,5
}Dp!q},15
~FC?,7
LAvD~OLw*,14
"0""d{zN&|nX",22
"X*GV7
%/(4jnX",31
WgR,7
Ixj,17
"C.""2hJ`RyZvN.",35
",M^/e^( xU",13
a%5b>-dablkZPOD@B6l,36
CgF{iO$b,14
r1,1
Iqhc7\z{be,32
M>D_1{/`~!GF,11
{Y\B',7
"XBu},]0",12
2omQ,14
uKu]fV`*o:c7%j'H9}v,35
7;tDi),4
k0I:Vnr.OIK*^,19
Xx1:N [=K4,22
If$2\W }410F;`xHZ[nA,37
J:|FB,15
7&_#cPaP7a,11
B}E<T5}4ozuos8nh,24
+p +$b1,6
"P?=K'^Ux$N@
ObSj\N
",32
YBc8G5Txv>,25
/6rX\\F}Z%	`C$,26
-)3n#SGiVkVlo@C`2,23
S		*zxF,23
k><;|TJT[n>FWV=Ps,32
"U,z!(gVY6Zs
	_?",32
$h xUdJYgn	+1=Db,35
"$g>uU	
NrF1:(T_b9-4",14
