train_input_1,train_output_1
[0.0],0.0
[100.0],100.0
[-100.0],-100.0
[2.0 129.0],65.5
[0.12345 -4.678],-2.277275
[999.99 74.113],537.0515
[469.77872146245136 856.8148083370056 948.9668938485042 851.9641633965016 -537.9306473647873 -244.53903460852348 768.081061717852 884.8196712138999 -123.48435314640585 820.2119721303272 367.9729897792147 369.70887940165403 -739.498694651684 -485.9075331754143 366.4010835197307 -183.67589139292193 896.1065186451901 -269.0105145483093 -562.0491320593749 -919.2558046599548 -68.38871796189517 127.22185299358671 821.7331245389732 256.55627227135915 -904.2126932481011 584.375553679917 652.0138602728828 677.8642525133887 590.9866477738235 -834.4742737343394 -834.2090692973112 987.1265246942373 -244.82388735912195 -688.2662102954689 241.7256350988514 261.7798055578414 389.70672955332657 222.97137836752995 -562.2747434185034 47.122601485669975 -731.2513228301248 377.3899267360903 -280.13490605470554 -191.05291890969613 277.9628904321014 965.1204970508529 -586.7709500167808 -202.07662884393244 874.1193580323945 647.5527599180152],128.21737013691637
[555.6370787140193 -391.2431223844799 -885.9838105524307 -499.691178530431 -201.87995752458016 -179.34616570946173 370.1902166247387 257.8930266443715 271.3922759384959 21.64644126933331 -967.4461596327209 -949.7359110078995 -574.5370259929875 -752.1553247195938 -10.768959585751873 -293.6585008518217 749.9181327889426 409.69692764492174 -513.4920750856236 -603.2750187502454 495.2951475635398 630.858077898202 -913.0477597310427 897.6692393054698 41.36382883468286 591.2783435274432 -123.60160693717614 80.62390388254971 396.0163052299713 -55.357373861174096 814.633582938437 366.4131220625163 -541.1387178604555 671.3051811152638 -818.7370135081094 830.3952498013684 -853.4936423171599 -168.6197913928636 437.3709514657894 -595.2918977835309 251.90498037936004 -401.3351677317039 -494.7633010623251 -804.0275874386691 -1.966804718049616 -315.4135783286773 -537.4960701922107 321.5892862533515 646.5534053188865 -697.6187943999237],-80.70955224778889
[953.8429177928551 -134.96421918941735 -764.987153815222 675.2281198192068 242.28644914662118 560.3263121537861 541.513723750111 -241.9237252959614 -245.9407667785323 638.0741012408785 -286.31508999163646 321.41989155890155 214.86318786207562 900.3526071320628 -350.8267566138386 836.2920548364245 32.21995483177284 538.8219327424722 -822.2346612532698 -296.73830630934583 -552.3861118581488 470.3515046782861 -629.3605888790863 -715.7646063804282 163.81815826123943 36.635385474603254 890.1392401488847 924.3814935527073 -353.07128666749827 -200.93759818317244 -806.1489078107024 -307.4920014177769 -890.7302959519405 -142.630849323848 619.656505422334 921.7436172484051 -701.5235635203603 -369.6309875433799 903.8238464115466 798.3844596296203 649.7013209863228 -640.6833277989565 522.0920871009826 225.28684717247256 102.02856925878018 -270.7676833987664 394.09123970181486 977.2005849519026 -63.17380528293313 -49.223489693541524],104.34240659818617
[954.3341014713769 -231.04633280172845 364.9013558558811 405.03087224188243 -631.5949290628153 -726.5855044608127 -729.0315466022469 -474.1929085948598 -239.13819508641927 -645.3261803245525 -481.9213633091581 -21.129342432374642 -278.24313470813047 822.9032885501681 521.2998272896136 394.7325515831433 -928.4237539783853 -129.13542902242364 419.0779982813333 -78.57260656202845 -110.21676898942621 18.057222964295192 102.35048505302484 -314.03820691148974 150.04586637716488 -132.99017843090041 605.6221561577709 -112.11673956758466 955.6173562200079 -732.765359904279 920.8572490845504 -304.31607647177736 -668.7704610828957 -414.11893172123393 164.17898550461314 -623.4787564558262 803.2494364676177 -299.86056171137454 207.01064134284502 162.00158603129466 587.740106530081 54.96210142912946 377.4317739097637 -762.4611748824461 -893.5417947216038 670.6840014477193 644.1642451191206 940.0661100745847 763.7096134216899 -661.3590637523616],7.71307261719076
[624.1407954490803 408.0694234725329 873.9449740782375 272.8377835611766 580.0601401146521 545.8649846214134 275.58478046551477 193.46880956998575 666.9723027050013 206.61333678295205 581.1814021089594 612.2628994389001 -951.6918717682794 -769.2312375148558 748.9823660683485 -781.9000701811678 258.3950904467074 316.2581086750836 788.9105343277602 520.2590522123319 269.63894835239125 -567.4299622656778 684.1778938239877 324.069890001962 -521.6984253242985 -706.103283928335 -309.7335444182339 -110.32861541839134 -828.5636224056299 116.48868636186717 59.188418289322044 -539.0496300088503],120.05126117795145
[-558.4345020378745],-558.4345020378745
[-995.4829064337906 -552.5633112383166 722.9466091553595 498.2186114888261 552.7567321897236 700.1328680666929 -569.9150393006906 -461.28549545979376 819.1986970743881 -957.0387628961747 462.01324650030824 -206.4823058983685 201.48854206254396 -495.2868514225106 310.8919257851885 429.10984044741167 1.7081545475747362 542.089361457842 921.3491118946558],101.25521200109841
[-891.4927830121928 -866.361186614301 329.77783685607733 706.9736115191438 53.30010038861997 -936.8312783990007 576.5100879543418 -481.5886724355256 559.398430241082 512.1531186002071 692.9472461443531 207.03160149904897 -952.023582795807 -184.08279922349698 151.72951702633372 794.0890566928026 -430.1443475598694 347.4466240159252 661.5551717247549 -138.97712084713623 875.9533241033776 -863.1069343202993 24.880666898134677 -805.8636174384342 -635.9324440528034 -70.67791274064143 -89.56031058109465 -576.1760174713197],-51.03830763670428
[-625.7571424524671 -663.7752836705627 -694.2097448488137 312.10712110859026 622.4323140988338 761.0018112606074 -605.4581345039462 111.14040621615891 -94.2190672333885 64.23585766465112 -751.2429127025271 63.34430546919816 -311.1548060520895 607.6936253556935 380.6887968192573 147.20508197056074],-42.247985718765236
[67.72442641182465 819.8650282922715 492.41313071961963 783.637264915744 180.36642372709935 0.52353439184526 -137.36413051373188 -788.3407257238331 544.8049493946053 -832.1065233701179 663.523971413232 979.5782486551564 -446.7457859820745 -889.2993200097201 -477.17012935375203 474.562654330804 993.9499411013383 -488.7139457238627 642.7651927091144 -549.4807529823843 -460.1603262504108],74.96824410251273
[-807.1629511160983 -860.8953259541775 -76.51193216348838 -964.7203255350241 892.0362494799958 -941.1067968522568 -364.958153146183 -132.59681975359 158.68565286356738 -105.83355534064572 -994.4022715054706 552.6699622867322 606.4277282257904 -36.457633736530056 26.26737011092473 -347.9393993800943 -730.3041403160457 -338.80895988210864 -828.4339717239897 -647.2751450009164 -752.4782837894337 -421.25542767731065 -336.2954881859994 180.68945611162212 445.50446737119023 228.13006959752488 198.11011579839828 889.7156133961512 755.8463415910232 -788.4209828316037 392.9337444804296 -228.02761990151635 376.6878100547756 624.5179486029167 867.8764705591964 -893.104720117098 -604.1970569834587 -21.000518061431876 -437.25031246073524 497.8035382039816 -749.9554954884495 -0.21476362668647653 -326.2420569038411 -558.4488660720697 220.75596717375402 272.14589967168286 415.57450472129176],-121.10468219585756
[-79.03384064591592 -209.85120669161518 -963.4201420865023 -873.2553684661428 132.73249462018111 637.2813308855511 -718.6196616899567 -926.4084305898052 170.9285471709702],-314.4051419436929
[207.6266840030596 -743.0972267408408 -94.81142739522647 -250.65840710942973 -793.340543922907 -645.2694482971897 105.01127605940587 -13.201635066606627 -768.2130949754835 69.9494717288892 -409.83898479680624 471.33272716466604 560.656824044227 -752.6377026196329 110.1141930617066 -757.302424932843 -509.28645702023266 -123.85680760554817 -230.54276088314498 282.5948953638822 906.4466898407281 -816.8947767376658 960.7747961875409 37.70788471338801 535.3322204255428 90.39523089588806 -502.9965685978559 516.4198275614897 78.56176780173973 -16.033172126978457 966.2597744066588 281.54616572558984 -782.8906043541881 256.7588746128904 -322.1423903965382 960.2347579487905],-31.53584366758432
[-162.94205679615925 944.2220103208647 -286.5133694780335 637.0202455849133 174.37994812917236 763.8614948358115 825.7462956282566 -846.1329198530115 -66.03595743965718 125.47319181628859 -492.11884812885364 -503.26225600936135 -674.6915495624155 841.9455893222669],91.49655845500585
[196.94000063203544 -633.124534898537 -335.4194872484326 514.3981329951371 951.7603063281526 -166.73620864668396 216.18859481387904 -179.76877233557184 541.191126107369 -515.3183103228105],59.011084742453725
[-909.8923449609675 -844.159677429118 -986.7195102955213 655.3977125658 -871.8605942096875 -265.94454305030445 312.25123963989427 -495.22326043753975 -845.593525107792 -212.08676362352776 -44.8197379107969 -584.6375593177606 208.2720924224593 746.571056274078 89.6340403436102 -120.79031834640341 682.4864841643694 -63.265664009695115 -456.20135593651617 298.06036025192725 437.69920262106893 632.8422625459341 -554.1587544603158 457.270070888467 -307.506417486838 874.0014445104273 227.8336425566772 856.2355529913925 -512.4115513617891 -563.3544097586167 638.0771620024907 -570.1922921045061 126.36791514693368 721.0378372805453 145.435639338099 -29.434353627218798 409.9150301866491 991.375000808815 691.5478608826836 649.7173708419157],40.34440862073304
[-656.4473598690066 -111.8914912409133 -77.44012125156723 -579.2110861774916 422.8808516264726 -793.2356461695438 722.3779546487453 152.76933684727123 239.02784220395688 -112.93079766139317 445.3116964055894 -503.5347952413476 -908.4351272310518 -173.11303514825],-138.13369844703783
